co,codmes
A2575005,201908
C2579002,201908
C6163005,201908
D0153004,201908
D0608002,201908
D5178002,201908
E0122002,201908
E4221002,201908
H2037002,201908
H3929002,201908
H4886003,201908
H6737002,201908
H7680002,201908
H8265003,201908
H9231005,201908
H9313003,201908
H9681001,201908
H9728003,201908
H9947001,201908
I0141001,201908
I0156001,201908
I0161001,201908
I0162001,201908
I0165001,201908
I0181003,201908
I0196001,201908
I0197001,201908
I0212001,201908
I0219001,201908
I0224001,201908
I0229001,201908
I0271001,201908
I0278001,201908
I0327001,201908
I0328001,201908
I0334001,201908
I0342001,201908
I0349001,201908
I0381001,201908
I0396001,201908
I0412001,201908
I0426001,201908
I0428001,201908
I0461001,201908
I0467001,201908
I0468002,201908
I0479001,201908
I0495001,201908
I0513001,201908
I0525001,201908
I0526001,201908
I0530001,201908
I0537002,201908
I0716001,201908
I0720001,201908
I0727001,201908
I0730001,201908
I0735001,201908
I0736001,201908
I0747001,201908
I0774001,201908
I0788001,201908
I0817001,201908
I0819001,201908
I0831001,201908
I0851001,201908
I0852001,201908
I0867001,201908
I0873001,201908
I0874001,201908
I0878001,201908
I0880001,201908
I0881001,201908
I0885001,201908
I0890001,201908
I0893001,201908
I0912001,201908
I0915001,201908
I0923001,201908
I0936001,201908
I0949001,201908
I0950001,201908
I0953001,201908
I0955001,201908
I0960001,201908
I0961001,201908
I0968001,201908
I0969001,201908
I0974001,201908
I0975001,201908
I0976001,201908
I0983001,201908
I0984001,201908
I0988001,201908
I0995001,201908
I1003001,201908
I1004001,201908
I1009001,201908
I1019001,201908
I1024001,201908
I1031001,201908
I1033001,201908
I1035001,201908
I1036001,201908
I1047001,201908
I1222001,201908
I1223001,201908
I1224001,201908
I1226001,201908
I1230001,201908
I1242001,201908
I1243001,201908
I1251001,201908
I1252001,201908
I1254001,201908
I1255001,201908
I1258001,201908
I1286001,201908
I1290001,201908
I1291001,201908
I1292001,201908
I1299001,201908
I1301001,201908
I1303001,201908
I1307001,201908
I1308001,201908
I1309001,201908
I1310001,201908
I1325001,201908
I1344001,201908
I1345001,201908
I1346001,201908
I1347001,201908
I1349001,201908
I1350001,201908
I1352001,201908
I1360001,201908
I1362001,201908
I1376001,201908
I1390001,201908
I1408001,201908
I1409001,201908
I1412001,201908
I1413001,201908
I1422001,201908
I1425001,201908
I1426001,201908
I1427001,201908
I1428001,201908
I1430001,201908
I1432001,201908
I1434001,201908
I1437001,201908
I1439001,201908
I1441001,201908
I1442001,201908
I1443001,201908
I1446001,201908
I1448001,201908
I1450001,201908
I1451001,201908
I1452001,201908
I1453001,201908
I1457001,201908
I1477001,201908
I1478001,201908
I1480001,201908
I1482001,201908
I1484003,201908
I1485001,201908
I1486001,201908
I1487001,201908
I1488001,201908
I1489001,201908
I1493001,201908
I1495001,201908
I1518001,201908
I1520001,201908
I1521001,201908
I1523001,201908
I1527001,201908
I1533001,201908
I1534001,201908
I1535001,201908
I1537001,201908
I1538001,201908
I1541001,201908
I1543001,201908
I1549001,201908
I1550001,201908
I1553001,201908
I1555001,201908
I1558001,201908
I1559001,201908
I1560001,201908
I1561001,201908
I1562001,201908
I1567001,201908
I1568001,201908
I1570001,201908
I1571001,201908
I1572001,201908
I1574001,201908
I1580001,201908
I1582001,201908
I1590001,201908
I1594001,201908
I1603001,201908
I1604001,201908
I1610001,201908
I1611001,201908
I1612001,201908
I1617001,201908
I1618001,201908
I1619001,201908
I1626001,201908
I1633001,201908
I1635001,201908
I1636001,201908
I1638001,201908
I1640001,201908
I1641001,201908
I1644001,201908
I1659001,201908
I1660001,201908
I1663001,201908
I1665001,201908
I1679001,201908
I1684001,201908
I1687001,201908
I1690001,201908
I1691001,201908
I1695001,201908
I1696001,201908
I1697001,201908
I1701001,201908
I1702001,201908
I1704001,201908
I1712001,201908
I1713001,201908
I1717001,201908
I1720001,201908
I1722001,201908
I1725001,201908
I1730001,201908
I1732001,201908
I1737001,201908
I1739001,201908
I1749001,201908
I1750001,201908
I1753001,201908
I1754001,201908
I1757001,201908
I1758001,201908
I1759001,201908
I1767001,201908
I1776001,201908
I1777001,201908
I1779001,201908
I1780001,201908
I1783001,201908
I1784001,201908
I1791001,201908
I1793001,201908
I1798001,201908
I1801001,201908
I1807001,201908
I1808001,201908
I1809001,201908
I1810001,201908
I1811001,201908
I1812001,201908
I1818001,201908
I1819001,201908
I1820001,201908
I1822001,201908
I1823001,201908
I1824001,201908
I1825001,201908
I1828001,201908
I1830001,201908
I1833001,201908
I1836001,201908
I1841001,201908
I1846001,201908
I1847001,201908
I1848001,201908
I1850001,201908
I1851001,201908
I1852001,201908
I1855001,201908
I1856001,201908
I1857001,201908
I1858001,201908
I1861001,201908
I1873001,201908
I1875001,201908
I1884001,201908
I1885001,201908
I1886001,201908
I1889001,201908
I1890001,201908
I1893001,201908
I1894001,201908
I1896001,201908
I1897001,201908
I1900001,201908
I1903001,201908
I1904001,201908
I1907001,201908
I1911001,201908
I1913001,201908
I1919001,201908
I1921001,201908
I1926001,201908
I1929001,201908
I1930001,201908
I1931001,201908
I1932001,201908
I1942001,201908
I1945001,201908
I1946001,201908
I1947001,201908
I1949001,201908
I1950001,201908
I1959001,201908
I1965001,201908
I1966001,201908
I1967001,201908
