ID,millas_por_galon_ciudad,millas_por_galon_carretera,cilindros,litros_motor,caballos_fuerza,revoluciones_por_minuto,rev_motor_por_milla,capacidad_tanque,capacidad_pasajeros,longitud,distancia_entre_ruedas,ancho,espacio_para_dar_la_u,espacio_asiento_trasero,capacidad_baul,peso_en_libras,precio_promedio,fabricante,modelo,tipo,numero_de_airbags,tracción,transmisión_manual,hecho_o_no_en_USA
1,25,31,4,1.8,140,6300,2890,13.2,5,177,102,68,37,26.5,11,2705,15.9,Acura,Integra,Small,No tiene,Delantera,Si,Hecho fuera de USA
2,18,25,6,3.2,200,5500,2335,18,5,195,115,71,38,30,15,3560,33.9,Acura,Legend,Midsize,Conductor y copiloto,Delantera,Si,Hecho fuera de USA
3,20,26,6,2.8,172,5500,2280,16.9,5,180,102,67,37,28,14,3375,29.1,Audi,90,Compact,Conductor,Delantera,Si,Hecho fuera de USA
4,19,26,6,2.8,172,5500,2535,21.1,6,193,106,70,37,31,17,3405,37.7,Audi,100,Midsize,Conductor y copiloto,Delantera,Si,Hecho fuera de USA
5,22,30,4,3.5,208,5700,2545,21.1,4,186,109,69,39,27,13,3640,30,BMW,535i,Midsize,Conductor,Trasera,Si,Hecho fuera de USA
6,22,31,4,2.2,110,5200,2565,16.4,6,189,105,69,41,28,16,2880,15.7,Buick,Century,Midsize,Conductor,Delantera,No,Hecho en USA
7,19,28,6,3.8,170,4800,1570,18,6,200,111,74,42,30.5,17,3470,20.8,Buick,LeSabre,Large,Conductor,Delantera,No,Hecho en USA
8,16,25,6,5.7,180,4000,1320,23,6,216,116,78,45,30.5,21,4105,23.7,Buick,Roadmaster,Large,Conductor,Trasera,No,Hecho en USA
9,19,27,6,3.8,170,4800,1690,18.8,5,198,108,73,41,26.5,14,3495,26.3,Buick,Riviera,Midsize,Conductor,Delantera,No,Hecho en USA
10,16,25,8,4.9,200,4100,1510,18,6,206,114,73,43,35,18,3620,34.7,Cadillac,DeVille,Large,Conductor,Delantera,No,Hecho en USA
11,16,25,8,4.6,295,6000,1985,20,5,204,111,74,44,31,14,3935,40.1,Cadillac,Seville,Midsize,Conductor y copiloto,Delantera,No,Hecho en USA
12,25,36,4,2.2,110,5200,2380,15.2,5,182,101,66,38,25,13,2490,13.4,Chevrolet,Cavalier,Compact,No tiene,Delantera,Si,Hecho en USA
13,25,34,4,2.2,110,5200,2665,15.6,5,184,103,68,39,26,14,2785,11.4,Chevrolet,Corsica,Compact,Conductor,Delantera,Si,Hecho en USA
14,19,28,6,3.4,160,4600,1805,15.5,4,193,101,74,43,25,13,3240,15.1,Chevrolet,Camaro,Sporty,Conductor y copiloto,Trasera,Si,Hecho en USA
15,21,29,4,2.2,110,5200,2595,16.5,6,198,108,71,40,28.5,16,3195,15.9,Chevrolet,Lumina,Midsize,No tiene,Delantera,No,Hecho en USA
16,18,23,6,3.8,170,4800,1690,20,7,178,110,74,44,30.5,16.54711084,3715,16.3,Chevrolet,Lumina_APV,Van,No tiene,Delantera,No,Hecho en USA
17,15,20,6,4.3,165,4000,1790,27,8,194,111,78,42,33.5,20.65118976,4025,16.6,Chevrolet,Astro,Van,No tiene,Doble tracción,No,Hecho en USA
18,17,26,8,5,170,4200,1350,23,6,214,116,77,42,29.5,20,3910,18.8,Chevrolet,Caprice,Large,Conductor,Trasera,No,Hecho en USA
19,17,25,8,5.7,300,5000,1450,20,2,179,96,74,43,24.28665145,9.202729653,3380,38,Chevrolet,Corvette,Sporty,Conductor,Trasera,Si,Hecho en USA
20,20,28,6,3.3,153,5300,1990,18,6,203,113,74,40,31,15,3515,18.4,Chrylser,Concorde,Large,Conductor y copiloto,Delantera,No,Hecho en USA
21,23,28,4,3,141,5000,2090,16,6,183,104,68,41,30.5,14,3085,15.8,Chrysler,LeBaron,Compact,Conductor y copiloto,Delantera,No,Hecho en USA
22,20,26,6,3.3,147,4800,1785,16,6,203,110,69,44,36,17,3570,29.5,Chrysler,Imperial,Large,Conductor,Delantera,No,Hecho en USA
23,29,33,4,1.5,92,6000,3285,13.2,5,174,98,66,32,26.5,11,2270,9.2,Dodge,Colt,Small,No tiene,Delantera,Si,Hecho en USA
24,23,29,4,2.2,93,4800,2595,14,5,172,97,67,38,26.5,13,2670,11.3,Dodge,Shadow,Small,Conductor,Delantera,Si,Hecho en USA
25,22,27,4,2.5,100,4800,2535,16,6,181,104,68,39,30.5,14,2970,13.3,Dodge,Spirit,Compact,Conductor,Delantera,Si,Hecho en USA
26,17,21,6,3,142,5000,1970,20,7,175,112,72,42,26.5,11.69144134,3705,19,Dodge,Caravan,Van,Conductor,Doble tracción,No,Hecho en USA
27,21,27,4,2.5,100,4800,2465,16,6,192,105,69,42,30.5,16,3080,15.6,Dodge,Dynasty,Midsize,Conductor,Delantera,No,Hecho en USA
28,18,24,6,3,300,6000,2120,19.8,4,180,97,72,40,20,11,3805,25.8,Dodge,Stealth,Sporty,Conductor,Doble tracción,Si,Hecho en USA
29,29,33,4,1.5,92,6000,2505,13.2,5,174,98,66,36,26.5,11,2295,12.2,Eagle,Summit,Small,No tiene,Delantera,Si,Hecho en USA
30,20,28,6,3.5,214,5800,1980,18,6,202,113,74,40,30,15,3490,19.3,Eagle,Vision,Large,Conductor y copiloto,Delantera,No,Hecho en USA
31,31,33,4,1.3,63,5000,3150,10,4,141,90,63,33,26,12,1845,7.4,Ford,Festiva,Small,No tiene,Delantera,Si,Hecho en USA
32,23,30,4,1.8,127,6500,2410,13.2,5,171,98,67,36,28,12,2530,10.1,Ford,Escort,Small,No tiene,Delantera,Si,Hecho en USA
33,22,27,4,2.3,96,4200,2805,15.9,5,177,100,68,39,27.5,13,2690,11.3,Ford,Tempo,Compact,No tiene,Delantera,Si,Hecho en USA
34,22,29,4,2.3,105,4600,2285,15.4,4,180,101,68,40,24,12,2850,15.9,Ford,Mustang,Sporty,Conductor,Trasera,Si,Hecho en USA
35,24,30,4,2,115,5500,2340,15.5,4,179,103,70,38,23,18,2710,14,Ford,Probe,Sporty,Conductor,Delantera,Si,Hecho en USA
36,15,20,6,3,145,4800,2080,21,7,176,119,72,45,30,17.67908459,3735,19.9,Ford,Aerostar,Van,Conductor,Doble tracción,Si,Hecho en USA
