Cliente	Monto	Fechas
C01	11556	2016-01-01
C01	7551	2016-01-01
C01	1590	2016-01-02
C01	3758	2016-01-08
C01	3420	2016-01-08
C01	2556	2016-01-09
C01	188	2016-01-10
C01	74	2016-01-10
C01	34	2016-01-11
C02	15075	2016-01-12
C02	7716	2016-01-12
C02	13480	2016-01-18
C02	4391	2016-01-19
C02	3474	2016-01-21
C02	4399	2016-01-21
C02	571	2016-01-25
C02	21	2016-01-30
C02	24	2016-01-30
C03	14555	2016-01-30
C03	3743	2016-02-10
C03	4506	2016-02-10
C03	1550	2016-02-10
C03	13999	2016-02-11
C03	101	2016-02-13
C04	6640	2016-02-15
C04	5827	2016-02-16
C04	10999	2016-02-17
C04	3896	2016-02-21
C04	4627	2016-02-22
C04	2356	2016-02-23
C04	93	2016-02-23
C04	345	2016-02-26
C04	75	2016-02-26
C05	6474	2016-02-28
C05	13989	2016-02-29
C05	1204	2016-03-01
C05	1739	2016-03-03
C05	765	2016-03-06
C05	873	2016-03-10
C06	10983	2016-03-11
C06	15716	2016-03-16
C06	14418	2016-03-18
C06	5167	2016-03-24
C06	3894	2016-03-30
C06	5342	2016-04-01
C06	89	2016-04-05
C06	25	2016-04-14
C06	453	2016-04-14
C07	8179	2016-04-15
C07	12078	2016-04-16
C07	2457	2016-04-17
C07	3327	2016-04-18
C07	237	2016-04-20
C07	834	2016-04-21
C08	2481	2016-04-21
C08	1046	2016-04-22
C08	51	2016-04-22
C09	9932	2016-04-25
C09	2741	2016-04-25
C09	3061	2016-04-28
C09	1392	2016-04-28
C09	356	2016-05-04
C09	876	2016-05-06
C10	6365	2016-05-06
C10	10061	2016-05-07
C10	7149	2016-05-11
C10	4370	2016-05-17
C10	36	2016-05-18
C10	421	2016-05-19
C11	3186	2016-05-26
C11	969	2016-05-27
C11	2344	2016-05-27
C12	10066	2016-06-01
C12	3557	2016-06-08
C12	287	2016-06-10
C13	6036	2016-06-14
C13	10865	2016-06-16
C13	2154	2016-06-16
C13	4919	2016-06-18
C13	46	2016-06-19
C13	519	2016-06-22
C14	6359	2016-06-23
C14	1680	2016-06-25
C14	467	2016-06-27
C15	8661	2016-07-01
C15	1946	2016-07-04
C15	21	2016-07-09
C16	16020	2016-07-12
C16	10870	2016-07-13
C16	4270	2016-07-18
C16	4411	2016-07-19
C16	4877	2016-07-19
C16	3572	2016-07-20
C16	270	2016-07-24
C16	117	2016-07-24
C16	200	2016-07-30
C17	7732	2016-08-07
C17	912	2016-08-11
C01	1365	2016-08-15
C01	1683	2016-08-15
C01	381	2016-08-21
C02	3543	2016-08-22
C02	2471	2016-08-22
C02	2194	2016-08-24
C02	2190	2016-08-25
C02	15	2016-08-26
C02	14	2016-08-30
C03	2874	2016-09-02
C03	1258	2016-09-02
C03	59	2016-09-04
C04	2664	2016-09-07
C04	722	2016-09-07
C04	1497	2016-09-09
C04	1369	2016-09-12
C04	605	2016-09-13
C04	1664	2016-09-13
C04	476	2016-09-16
C04	321	2016-09-16
C04	87	2016-09-17
C06	2098	2016-09-19
C06	915	2016-09-24
C06	2131	2016-09-26
C06	1490	2016-10-01
C06	795	2016-10-01
C06	2233	2016-10-01
C06	135	2016-10-04
C06	25	2016-10-05
C06	44	2016-10-06
C07	1534	2016-10-10
C07	537	2016-10-10
C07	21	2016-10-22
C08	730	2016-10-23
C08	572	2016-10-24
C08	34	2016-10-25
C09	2624	2016-10-27
C09	873	2016-10-27
C09	845	2016-10-31
C10	894	2016-11-02
C10	1152	2016-11-03
C10	77	2016-11-18
C12	837	2016-11-19
C12	551	2016-11-24
C12	233	2016-11-25
C13	1161	2016-11-27
C13	1090	2016-11-28
C13	34	2016-12-03
C14	1269	2016-12-04
C14	153	2016-12-05
C14	324	2016-12-07
C16	2618	2016-12-08
C16	4001	2016-12-08
C16	408	2016-12-09
C16	1502	2016-12-10
C16	1206	2016-12-12
C16	649	2016-12-15
C16	107	2016-12-16
C16	39	2016-12-17
C16	169	2016-12-19
C17	427	2016-12-20
C17	679	2016-12-22
