"rules","support","confidence","lift","count"
"{cereals} => {whole milk}",0.00366039654295882,0.642857142857143,2.51591723040191,36
"{rice} => {whole milk}",0.00467717336044738,0.613333333333333,2.40037140204271,46
"{baking powder,yogurt} => {whole milk}",0.0032536858159634,0.711111111111111,2.78303930671619,32
"{grapes,tropical fruit} => {other vegetables}",0.00366039654295882,0.6,3.10089332632685,36
"{meat,root vegetables} => {whole milk}",0.00315200813421454,0.62,2.42646239554318,31
"{frozen meals,tropical fruit} => {whole milk}",0.00355871886120996,0.648148148148148,2.53662436810069,35
"{hard cheese,root vegetables} => {other vegetables}",0.00345704117946111,0.618181818181818,3.194859790761,34
"{hard cheese,yogurt} => {whole milk}",0.0041687849517031,0.650793650793651,2.54697793695008,41
"{butter milk,pip fruit} => {other vegetables}",0.0032536858159634,0.64,3.30761954808198,32
"{butter milk,root vegetables} => {whole milk}",0.00315200813421454,0.62,2.42646239554318,31
"{root vegetables,sliced cheese} => {other vegetables}",0.00376207422470768,0.672727272727273,3.47675918406344,37
"{oil,root vegetables} => {whole milk}",0.00447381799694967,0.63768115942029,2.49566024787049,44
"{oil,yogurt} => {other vegetables}",0.0032536858159634,0.615384615384615,3.18040341161728,32
"{oil,rolls/buns} => {whole milk}",0.00305033045246568,0.6,2.34818941504178,30
"{butter,onions} => {whole milk}",0.00305033045246568,0.75,2.93523676880223,30
"{onions,whipped/sour cream} => {other vegetables}",0.00315200813421454,0.62,3.20425643720441,31
"{citrus fruit,onions} => {other vegetables}",0.00355871886120996,0.636363636363636,3.28882625519515,35
"{onions,tropical fruit} => {other vegetables}",0.00366039654295882,0.642857142857143,3.32238570677877,36
"{onions,root vegetables} => {other vegetables}",0.00569395017793594,0.602150537634409,3.11200763932444,56
"{butter,hamburger meat} => {whole milk}",0.00305033045246568,0.697674418604651,2.73045280818812,30
"{hamburger meat,root vegetables} => {whole milk}",0.00396542958820539,0.639344262295082,2.50216904881501,39
"{hamburger meat,yogurt} => {whole milk}",0.00396542958820539,0.609375,2.38487987465181,39
"{butter,hygiene articles} => {whole milk}",0.00305033045246568,0.697674418604651,2.73045280818812,30
"{hygiene articles,pip fruit} => {whole milk}",0.00305033045246568,0.638297872340426,2.49807384578913,30
"{hygiene articles,tropical fruit} => {whole milk}",0.00406710726995425,0.606060606060606,2.3719085000422,40
"{hygiene articles,root vegetables} => {whole milk}",0.00355871886120996,0.660377358490566,2.58448520523467,35
"{domestic eggs,sugar} => {whole milk}",0.00355871886120996,0.714285714285714,2.79546358933546,35
"{sugar,whipped/sour cream} => {whole milk}",0.00315200813421454,0.645833333333333,2.52756499535747,31
"{waffles,whipped/sour cream} => {whole milk}",0.00315200813421454,0.62,2.42646239554318,31
"{long life bakery product,root vegetables} => {other vegetables}",0.00335536349771225,0.634615384615385,3.27979101823032,33
"{cream cheese,domestic eggs} => {whole milk}",0.00345704117946111,0.68,2.66128133704735,34
"{cream cheese,whipped/sour cream} => {whole milk}",0.00396542958820539,0.619047619047619,2.4227351107574,39
"{cream cheese,pip fruit} => {whole milk}",0.00396542958820539,0.65,2.54387186629526,39
