coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo,Adq_Ahorro
CODDOC0001,30,married,primaria,no,1787,no,no,19,79,1,-1,0,0
CODDOC0002,33,married,secundaria,no,4789,si,si,11,220,1,339,4,0
CODDOC0003,35,single,terciario,no,1350,si,no,16,185,1,330,1,0
CODDOC0004,30,married,terciario,no,1476,si,si,3,199,4,-1,0,0
CODDOC0006,35,single,terciario,no,747,no,no,23,141,2,176,3,0
CODDOC0009,41,married,terciario,no,221,si,no,14,57,2,-1,0,0
CODDOC0010,43,married,primaria,no,-88,si,si,17,313,1,147,2,0
CODDOC0011,39,married,secundaria,no,9374,si,no,20,273,1,-1,0,0
CODDOC0015,31,married,secundaria,no,360,si,si,29,89,1,241,1,0
CODDOC0019,25,single,primaria,no,-221,si,no,23,250,1,-1,0,0
CODDOC0021,38,divorced,desconocido,no,0,si,no,18,96,2,-1,0,0
CODDOC0022,42,divorced,terciario,no,16,no,no,19,140,3,-1,0,0
CODDOC0025,26,married,terciario,no,543,no,no,30,169,3,-1,0,0
CODDOC0030,53,married,secundaria,no,105,no,si,21,74,2,-1,0,0
CODDOC0031,68,divorced,secundaria,no,4189,no,no,14,897,2,-1,0,1
CODDOC0033,59,married,secundaria,no,42,no,no,21,40,1,-1,0,0
CODDOC0034,32,single,terciario,no,2536,si,no,26,958,6,-1,0,1
CODDOC0036,42,divorced,secundaria,no,1811,si,no,14,150,1,-1,0,0
CODDOC0037,78,divorced,primaria,no,229,no,no,22,97,1,-1,0,1
CODDOC0041,38,single,terciario,no,11971,si,no,17,609,2,101,3,0
CODDOC0044,32,married,terciario,no,396,si,no,13,205,3,-1,0,0
CODDOC0045,32,single,terciario,no,2204,si,no,21,11,4,-1,0,0
CODDOC0046,34,single,terciario,no,872,si,no,7,105,2,-1,0,0
CODDOC0047,55,married,primaria,no,145,no,no,2,59,3,5,2,0
CODDOC0048,26,married,primaria,no,0,si,no,21,425,1,-1,0,0
CODDOC0049,32,single,primaria,si,-849,si,si,4,204,1,-1,0,0
CODDOC0050,61,married,desconocido,no,4629,si,no,27,181,1,92,1,1
CODDOC0053,38,single,secundaria,no,50,no,no,29,98,2,-1,0,0
CODDOC0054,34,married,terciario,no,1539,si,no,15,441,1,56,1,1
CODDOC0055,53,married,secundaria,no,2231,si,no,14,272,3,-1,0,0
CODDOC0056,48,married,secundaria,no,3064,si,no,15,159,2,-1,0,0
CODDOC0059,36,single,secundaria,no,101,si,si,26,314,1,-1,0,0
CODDOC0060,54,divorced,secundaria,no,784,si,si,15,579,1,-1,0,0
CODDOC0066,51,divorced,secundaria,no,203,si,no,8,134,1,170,5,0
CODDOC0068,29,married,secundaria,no,444,si,no,21,130,4,-1,0,0
CODDOC0070,32,single,terciario,no,360,no,no,19,164,2,-1,0,0
CODDOC0071,37,married,terciario,no,0,no,no,16,268,2,182,3,1
CODDOC0074,41,married,terciario,no,412,si,no,3,154,5,-1,0,0
CODDOC0075,56,married,secundaria,no,344,si,no,15,221,1,-1,0,0
CODDOC0077,41,divorced,secundaria,no,174,si,no,14,367,2,297,1,0
CODDOC0079,50,divorced,primaria,no,388,no,no,5,701,1,-1,0,0
CODDOC0081,27,divorced,secundaria,no,451,si,no,16,652,1,-1,0,1
CODDOC0082,60,married,primaria,no,5,no,no,26,63,2,-1,0,0
CODDOC0083,28,single,secundaria,no,177,si,si,6,150,1,-1,0,0
CODDOC0087,41,single,secundaria,no,879,no,si,7,60,4,-1,0,0
CODDOC0089,38,married,secundaria,no,424,si,no,17,279,1,-1,0,0
CODDOC0090,34,married,secundaria,no,1831,si,no,20,203,2,-1,0,0
CODDOC0092,34,married,primaria,no,455,si,no,20,372,3,-1,0,0
CODDOC0093,27,single,secundaria,no,-195,si,no,18,391,1,-1,0,1
CODDOC0094,32,single,terciario,no,3616,no,no,14,165,2,-1,0,0
CODDOC0095,57,married,secundaria,no,14093,no,no,11,231,5,-1,0,0
CODDOC0096,41,single,terciario,no,1567,no,no,1,291,2,-1,0,0
CODDOC0099,36,divorced,secundaria,no,2843,no,no,12,473,1,182,1,0
CODDOC0100,31,single,primaria,no,406,no,no,4,736,1,-1,0,1
CODDOC0101,36,married,secundaria,no,0,si,no,6,337,1,-1,0,0
CODDOC0102,38,single,terciario,no,493,si,no,11,553,1,367,7,0
CODDOC0103,49,married,secundaria,no,5996,no,no,21,345,2,-1,0,0
CODDOC0104,57,single,primaria,no,3777,si,no,13,65,2,-1,0,0
CODDOC0106,32,single,terciario,no,574,si,no,14,259,2,145,3,0
CODDOC0107,37,married,secundaria,no,427,si,si,9,371,3,-1,0,0
CODDOC0108,33,married,terciario,no,483,si,no,3,280,2,-1,0,0
CODDOC0110,27,married,primaria,no,0,si,no,23,435,3,-1,0,0
CODDOC0115,25,single,secundaria,no,331,no,no,26,170,4,-1,0,1
CODDOC0116,25,single,secundaria,no,505,no,si,17,386,2,-1,0,1
CODDOC0117,30,married,secundaria,no,1808,si,no,18,83,2,-1,0,0
CODDOC0119,39,married,primaria,no,52,no,no,13,69,1,-1,0,0
CODDOC0121,31,divorced,secundaria,no,1890,si,no,21,588,1,-1,0,0
CODDOC0122,45,married,primaria,no,419,no,no,18,113,4,-1,0,0
CODDOC0124,36,married,secundaria,no,-231,no,si,15,779,2,-1,0,0
CODDOC0125,51,single,terciario,si,-55,si,no,11,281,2,266,6,0
CODDOC0127,24,single,secundaria,no,119,no,no,15,51,1,-1,0,0
CODDOC0132,37,married,primaria,no,0,si,no,26,24,1,-1,0,0
CODDOC0134,48,married,desconocido,no,0,si,no,8,85,1,168,2,0
CODDOC0136,33,single,terciario,no,0,no,no,28,236,10,-1,0,0
CODDOC0138,34,single,terciario,no,0,no,no,5,71,1,-1,0,0
CODDOC0139,52,married,terciario,no,-970,si,no,4,489,1,-1,0,1
CODDOC0141,32,divorced,terciario,no,948,no,no,12,204,2,-1,0,0
CODDOC0142,32,single,terciario,no,0,si,no,22,455,2,-1,0,0
